Technically possible output frequencies (fcw) of integrated cosine waveform (CW) Generator:
(with definition SW_FSTEP_MAX=128, default value 0 for RTC_CNTL_CK8M_DIV_SEL stays untouched)
setCwFrequency(): ftarget=1, fcw=122, abs(delta)=121, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=2, fcw=122, abs(delta)=120, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=3, fcw=122, abs(delta)=119, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=4, fcw=122, abs(delta)=118, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=5, fcw=122, abs(delta)=117, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=6, fcw=122, abs(delta)=116, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=7, fcw=122, abs(delta)=115, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=8, fcw=122, abs(delta)=114, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=9, fcw=122, abs(delta)=113, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=10, fcw=122, abs(delta)=112, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=11, fcw=122, abs(delta)=111, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=12, fcw=122, abs(delta)=110, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=13, fcw=122, abs(delta)=109, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=14, fcw=122, abs(delta)=108, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=15, fcw=122, abs(delta)=107, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=16, fcw=122, abs(delta)=106, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=17, fcw=122, abs(delta)=105, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=18, fcw=122, abs(delta)=104, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=19, fcw=122, abs(delta)=103, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=20, fcw=122, abs(delta)=102, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=21, fcw=122, abs(delta)=101, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=22, fcw=122, abs(delta)=100, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=23, fcw=122, abs(delta)=99, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=24, fcw=122, abs(delta)=98, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=25, fcw=122, abs(delta)=97, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=26, fcw=122, abs(delta)=96, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=27, fcw=122, abs(delta)=95, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=28, fcw=122, abs(delta)=94, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=29, fcw=122, abs(delta)=93, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=30, fcw=122, abs(delta)=92, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=31, fcw=122, abs(delta)=91, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=32, fcw=122, abs(delta)=90, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=33, fcw=122, abs(delta)=89, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
